,id,url,sentiment_polarity,abs Polarity,Clean tweet,sentiment_subjectivity,tweet,now
0,6.66642E+17,0,-0.2,0.2,Drunk soul speaks a sober mind,0.6,Drunk soul speaks a sober mind,17-Nov-15
0,6.66642E+17,0,-0.02,0.016666667,Hell is an eternity of being sober in a room full of drunk people,0.58,Hell is an eternity of being sober in a room full of drunk people.,17-Nov-15
0,6.66641E+17,0,-0.2,0.2,Drunk minds speak a sober tongue,0.6,Drunk minds speak a sober tongue.,17-Nov-15
0,6.66639E+17,0,0.04,0.04,Turns out drunk me knows a few months before sober me if someone is worth knowing I should listen to that guy more often,0.38,Turns out drunk me knows a few months before sober me if someone is worth knowing. I should listen to that guy more often,17-Nov-15
0,6.66639E+17,0,-0.3,0.3,Its always difficult to make conversation with a drunk and theres no denying it the sober are at a disadvantage with him,0.73,It's always difficult to make conversation with a drunk  and there's no denying it  the sober are at a disadvantage with him.,17-Nov-15
0,6.66639E+17,0,-0.2,0.2,Sober vs drunk ,0.6,Sober vs drunk https://t.co/8rJlSyXChV,17-Nov-15
0,6.66639E+17,0,-0.2,0.2,Drunk minds speak sober thoughts,0.6,Drunk minds speak sober thoughts.,17-Nov-15
0,6.66638E+17,0,-0.2,0.2,writingadvice Write drunk edit sober  Ernest Hemingway,0.6,#writingadvice Write drunk  edit sober. – Ernest Hemingway,17-Nov-15
0,6.66638E+17,0,-0.13,0.133333333,Drunk actions are only sober thoughts,0.73,Drunk actions are only sober thoughts.,17-Nov-15
0,6.66637E+17,0,-0.2,0.2,Sober vs drunk,0.6,Sober vs drunk,17-Nov-15
0,6.66643E+17,0,-0.2,0.2,She front and blow me off when she sober but cant resist when shes drunk,0.6,She front and blow me off when she sober but can't resist when she's drunk,17-Nov-15
0,6.66645E+17,0,0.02,0.02,How many times are people gonna mistake julians naturally weird goofy self with him being drunk He got sober in 04 ,0.74,How many times are people gonna mistake julians naturally weird goofy self with him being drunk. He got sober in 04. https://t.co/XyW7irO5yp,17-Nov-15
0,6.66646E+17,0,-0.03,0.03125,Found the list so Im currently functioning as if I have a bac of 10 probably a bit higher now since thats at 24 hours drunk yet sober,0.53,Found the list  so I'm currently functioning as if I have a bac of .10  probably a bit higher now since that's at 24 hours  drunk yet sober!,17-Nov-15
0,6.66646E+17,0,-0.2,0.2,Drunk words are sober thoughts,0.6,Drunk words are sober thoughts,17-Nov-15
0,6.66646E+17,0,-0.2,0.2,Drunk words are sober thoughts,0.6,Drunk words are sober thoughts.,17-Nov-15
0,6.66649E+17,0,-0.13,0.133333333,Alcohol will only make a person cheat if theyd considered doing it while sober Being drunk changes your behavior not your morals,0.73,"""Alcohol will only make a person cheat if they’d considered doing it while sober. Being drunk changes your behavior  not your morals.""",17-Nov-15
0,6.66649E+17,0,-0.2,0.2, loooooool mate drunk or sober i wouldve cried just like them ,0.6,@fuzzypickles_ loooooool mate! drunk or sober i would've cried just like them 😂,17-Nov-15
0,6.6665E+17,0,0.03,0.033333333,Bitches out here Drunk in Love  while they niggas out here  Sober and Cheating  ,0.6,"Bitches out here ""Drunk in Love "" while they niggas out here "" Sober and Cheating "" 😂😂😂😂😂",17-Nov-15
0,6.66652E+17,0,0,0,Aw Drunk Sarah ran the dishwasher overnight to surprise  Sober Sarah in the morning That was thoughtful,0.57,Aw! Drunk Sarah ran the dishwasher overnight  to surprise  Sober Sarah in the morning. That was thoughtful.,17-Nov-15
0,6.66652E+17,0,-0.2,0.2,Sober vs drunk ,0.6,Sober vs drunk https://t.co/OMAMSoFVsV,17-Nov-15
0,6.66652E+17,0,-0.2,0.2,Always do sober what you said youd do drunk That will teach you to keep your mouth shut  Ernest Hemingway quote,0.6,"Always do sober what you said yo'd do drunk. That will teach you to keep your mouth shut. 
― Ernest Hemingway #quote",17-Nov-15
0,6.66652E+17,0,-0.2,0.2, 09469   Drunk words are sober thoughts,0.6,@Shupon07 @ayodeji_09469 @Seewhyrules  Drunk words are sober thoughts.,17-Nov-15
0,6.66654E+17,0,-0.04,0.038095238, Whats q968 are you drunk right now You should stop tweeting till you sober up,0.58,@KurtSchlichter What;s q968? are you drunk right now? You should stop tweeting till you sober up.,17-Nov-15
